Username,Comment
@moofymoo,the secret he is not telling us is that now he got bored with coding and want to be a youtube preacher.
@pauljoseph1556,Though intuitively i knew this…. Spelling it out really helped.
@pmcafricaX,great video! I felt like this for years!!
@deepdhebe5636,You will never feel ready just start
@OkpochiniStanley,"U are very right and that is the way I also started, I build like I reason and I make research and build"
@arunika7799,"I hesitate that whether i can apply for a job or not... because I want to be a full stack developer but i don't have enough skill...where i fail to start...! 
You'll never be ready, start anyway"
@NotoriousGarbagePerson,the best feeling when coding is fixing a complex bug that has been troubling you for days. the worst feeling is when the bug was something stupid you should have caught immediately.
@bemaondoalumunsimon2312,"Thank you so much,  I look down on myself because of this same reason but the thing is that no one really cares about the code. They all care about what it does"
@SHADOWfaez,I wish if someone told about perfection thank u
@SHADOWfaez,How u have only 50k subs u worth more than that continue what are u doing
@vitalisya9,youve change another soul today the hours you spend to watch tutorial you could use that to figure out why this line of code doesn't work you'll grow faster than you imagine
@cloudycore279,"im a student, learnt python and doing dsa's while learning C, hoping i can learn more from u. thanks"
@ShubhNGrow,"Thank you 🙌
The most useful video, it just boosted my confidence."
@ManassehAnche-v6d,"My name is Manasseh, here I am watching this video on the  15th of august 2025, to be honest this video has hit every spot that bothers me, especially the first point about not needing to know everything before i start coding, this was me I thought I had to know everything to start and as such I never felt ready to start, but with a little push I started anyway and building my way up. Thank you so much for this video, it solves every problem I have, henceforth I will begin to learn coding differently with a renewed zeal and approach. Thanks a million times and over."
@Xoloes,"Guys from my perspective burnout is like calling yourself a deadman
if you empty yourself for a project could've just called it off and go home
have the breaks whenever i had a thought like ""Should i leave it and come later?""
i alot of time had myself sitting on a computer for 17 hours straight for debugging some problems and i didn't leave it because ""if i exit now i may not be as efficient"" 
TOTAL NONSENSE
if you think you should go list out the bugs on a note and come back to it later!
got a way to fix the bug ""i will just stay here to finish this one and go""
write what you thought on a NOTE AND GOO
a burnout doesn't fix overnight 
It stays untill you decide to take it off
once you took it off you better stay without it
PEACE!"
@MzN...,"Thanks man, this video is created exactly for me."
@sawmung-o8d,"Im 3rd year software engineer uni student. I want to apply for software engineer internship but I'm scared I dont have enough knowledge for programming. Like on first year, we learned basic Python and OOP but second year, we are learning data structure Java. Like what should I do when Im still not confident in my Python skill and even now Im forgetting how to code Python while im learning Java."
@bouke3402,Yes I understand you only need to know the basics but some interviewers do not understand😅
@kinnu-kou,"Thank you for the video. I have currently been thinking about this for a while, like am I dumb or something why other people can write code easily? But I am still stuck with how I can make my code perfect. It makes me feel blank when I take too much time to think about it. As you said in the video, there is no perfection, and you cannot know when you don't make your code exist."
@MamAras,Nobody cares about your code 🫡
@AbdulmalikAlabi-e8i,"I'm happy I got to know every code doesn't need to be perfect for me, because wanting it to be perfect waste time, drain energy, cause headache, also make me feel unsure of my coding future. Thanks man, I really appreciate this video."
@dziuniabronksu4284,"MAAN, I bought a book and only started learning three days ago, and I was already falling into the trap of 'when will I be ready?'. Now I know, thank you. o>

And sneaky pic fall before ""Total nonsense"" was funny :P"
@pramodhrathnasekara5985,beautifully words !! thanks alot !!
@thzockt,7:39 so true
@yvanthepcgamer7993,"As someone that JUST dove into JAVA programming and as well as MySQL, i needed to hear this"
@IbrohimAbdullayev-o7i,You will never feel ready
@cr7goat_cc,"If it works, don't touch it"
@karimashraf6a23,I just started learning python with very little lua experience and this video has helped me so much 🙏
@thecanary4238,"I’m a new developer, and video definitely helped. Thanks for the insight!"
@LazyusCheesus,"This isn't just for coding, this is basis for everything what you want to do for work or hobbies(if we reword some of them)."
@Monoplacophora,"What discourages me, is artificial intelligence. At this point I code and learn cs for hobby. If you see this message, I subscribed to you because you're an inspiration and I appreciate your knowledge and positivity. Also, for us CS people do you think in your honest opinion that trying to get a job in tech in today's time is worth it? AI is cooking us"
@7.motivation.7,Burnout and going for a walk and also just starting and not needing to know everything is real advice 💯
@jnymarkp,"WOW!
Great advice - thanks :)
This can be used in so many aspects of life - not only coding."
@Casanuestra-d8p,I feel so much better as a person trying to learn coding. Thanks!
@johnnymanforever,"Var _helpful_info
      If helpful_info == true
{ thank creator * 10} and (like_subscribe)"
@CustomizeDroid,"Thanks for sharing this inspiring insight, I can relate to almost everything you’ve said. As a self-taught developer with over five years of learning and following tutorials, I still find it difficult to code entirely on my own, except for simple projects that don’t require much effort. This struggle often feeds my battle with imposter syndrome, making me doubt my abilities despite the knowledge I’ve gained."
@hussain_iliyas,Those are really some gems! Thanks for sharing!
@toca_nexs,"I think many know much of it, but not many ""care"" about it. I am just too hocked sometimes to a problem. But great Vid ❤"
@FarhanLabeebApon,"This dude literally just opened my eyes. Don't know how his word hit on the spot, Every word is like spot on for me. This video not only made me motivated but also helped how I pursued coding, and it feels like I am on right track.

Thank you very much for the video."
@mosesabalugo,Thanks Boss. I really appreciate this tips
@kh4lifa268,summary of the video : Use AI to code for you
@AmFedii,"You don't need to know everything 
You don't need to make it perfect , make it works"
@PinoyITGuide,you earned me as a subs. i agree alot on your point especially im now 9 years and seems like the market is still looking for the rockstar dev to be low balled. all devs does references on web more often than not and nobody really memorized everything.
@seanshimon,Thanks ❤
@ParadoxaalInzicht,"Eventually, you should have at least 90% of JavaScript memorized. It’s not that hard."
@unlakufr,currently going through 3 weeks of java to get into this coding school and i have learned so much the past 2 weeks and the way they teach is peer to peer learning so we are all strugeling together googeling. Figuring out the problem. No classes here only tasks you code you learn. No other way to learn faster than hands on. Its that instant feedback its like a drug.
@Justinfortuin97,"Oh boy, how i truly needed this video!! Lifesaver ❤"
@Poorna-v5h,Thank you😇
@javeriairfan5608,"honestly, i am about to cry! NO ONE, literally, no one has ever told me that we can relax while doing coding or we can take a break. Where i was working in my last company, they want output, product.. working timing, my restlessness, never matters to them! thankyou for letting me know that its  not crime or am not honest with my job, company or boss if i take breaks in between. Its normal for coders to have some of our time, to give best of us. a BIG THANKYOU! Believe me, I never comment on any vedio, but your vedio made me do from my heart. Once again THANKYOU!"
@mgc422,subscribed!
@lilbaby785,WOW
@Phoebe-v6i1z,"Wow, You'll never be ready, start anyway."
@noname-we8sx,"Thank you very much sir for this video I can say you've changed my mentality of how I see coding really grateful 

Perfection is really a trap"
@Jayz-c2z,subscribed
@salar0049,"""Devs should take rest"", this what I struggle with, thanks for the advices"
@Boris.Matosovsky,'what do you think of using ChatGPT or whatever AI when stuck instead of googling?
@michirabrian,this is quite some advise i can stay all day on my code trying to fix just a simple thing sometimes u even realise is a spelling mistake man
@maltekempff4197,"I think I saw somewhere a very similar video somewhere. 
I like you said something Like ""they ask questions"". At my third last and my last job I got fired because I was asking to many questions. So I quit my intire occupation after over 30 years. And now I am a Privatier 😅"
@aneurysmxm,"thank you so much, u never know how much i needed this❤"
@74Gee,"I've been a programmer for 42 years and I was skeptical when I read the title but I couldn't agree more. You really hit the nail on the head.
I have one more to add:

The language is not important, when you learn to program in one language, you've almost learned all of them - every language from javascript to assembly are essentially the same - they all follow the same logic - only the syntax changes. It's like learning to count to 10 and then finding counting to 100 much easier. So when ever you have an opportunity to use a language designed for a problem, try that for at least a couple of hours. You'll become much more efficient with more languages!"
@vitorhugocamposmoura3383,8:26 all of them
@lowlevelretro,Sometimes you come across a different or intering result later. I find LLM's have kind of replaced Google for me in this area.
@djhonz45,"This is just amazing!!! I need this as a 49 year old! I keep starting & stopping studying html, CSS & JavaScript (10 years now) because of work, family, talking myself out of it due to confidence. I'm back studying again after a year."
@sanushMC,"I am learning coding for about 3 months.

1: I didn't know that but realized it in like a week. (0:22)
2: I already knew how to learn so it was fine. (1:35)
3: Can't think if i already knew that or figured out while i was learning. (2:37)
4: I actually did. (3:47)
5: Yeah i realized that in like day one. (4:44)
6: Knew that when i show someone a program i only show them what it does. (5:48)
7: True at first i felt so motivated, and then had no desire for that for a long time. Now i'm in between (6:49)"
@X.R_Gaming-lg6qc,All hit me. And the worst part? Am just fucking starting 😭😭😭
@rekzthechefguy,"all the topics very relate to me, thanks pete"
@man_home-x1k,"Worth it 🎉 i got something new to learn 😊

I am gonna scroll some more stuff... This YouTube algorithm can read my thoughts 😮"
@omark8379,Great video! I just started coding today. There is an abundance of knowledge available in the world right now.
@bilalaziz137,Amazing sir. Very helpful tips for me. Thank you for sharing your knowledge with us
@billthekid1982,In 8 minutes you cover almost everything!! This is a great achievement in YT videos these days. Instant sub!!
@piratesaman,are u from Russia?
@Denbot.Gaming,"Tell interviews this... I've written complex multi threaded python scripts/apps, but can't deliver code on demand in interviews"
@sanjaym.131,"#4 is applicable to all I think, even me too!"
@عبدالرحمنالدوعني-ن6ظ,"I respectfully disagree with the notion that ""no one cares about the code."" Writing clean code is fundamental to a developer’s responsibility.
Our role goes beyond simply making the code functional; it is essential to ensure that the code is efficient, maintainable, and well-structured.
Clean code leads to better collaboration, easier debugging, and long-term project success."
@HankRhule,Really what can you love more really today what's really new to us that excited us more than becoming a professional programmer most of our time isn't making love once creating the magic is the account to accomplish come on now let's be honest okay tell us early or hope we're even ready now to explain what I mean this is really my 💬💭 thought. The love of anyone's life isn't the quickest thought 💭🤔 just come up with it. If someone through the years told me that I could create my life through this I too would of kept trying with out a pause. Okay can get tired yes and feel burnt out but explained it well programmer with a voice tone convincing me and maybe even others that it's even possible.
@rintanrenatta,"Staying relaxed is key to solving problems. I often figure things out after taking a break or doing some chores. Sometimes, stepping back helps us see things more clearly."
@htzgame1474,:)😂
@Arima776,really good video thanks for helping this community
@lcgrossi1514,"Perfect tips! You did a incredible video. Congrats!
There's a lot of info who anyone can apply in other scenarios and not just to code developing."
@LordOfPancakes,"Not gonna lie as a learning programmer who watched insane amount of videos, had classes and more, but this really made me think back to why i choose to become a coder (I like to solve problems) and really made me aware of how valid my worries are, that im not alone and that perfection is a myth, many thanks for this video 100% agree with all the comments about how consise this video was its amazing!"
@tinasun8136,Thank you very much!
@Joel2Million,"mostly agree but ""Nobody cares about your code"" only applies to solo/gig devs, for the majority of devs (who work in teams) then your team mates likely very much care about your code if it sucks."
@amirfalcon3019,"that was amazing, thank you for your helpful video😍"
@EranDarki,"“Burnout is real, and it can hit hard. Sure, the bug was gone, but so was my energy”. I couldn’t have said it better myself. Not worth it at all. Like you said, “That wasn’t a win, that was a warning.” ⚠🚨 Keep up the good work - coaching junior developers👌🏽"
@Light846,These advice apply on everything
@AmiraNoor-g6o,"That was so good to hear. i have just started learning Java and IT stuff at uni (i'm only like 4 weeks in!) and I feel so dumb.. so slow... so thick, but i'm not going to give up because it's really drawing me in. Your video was so awesome"
@duja3443,I started my coding career last month. Do you have any community I can join?
@HarbingerOfGay,Thank you so much for this. I needed to hear it. I'm a 44 year old student and I'm always second guessing myself.
@EnderfrostPro,i use ai with zero knowledage about building website but i am try to build it and trying to fix while i am doing this everytime i learn smth new this video really touched my heart
@PatrioticGestalt,"""The problem with being consistent is that there are lots of ways to be consistent, and they’re all inconsistent with each other."" --- Larry Wall (Perl creator)"
@ProjectExitVelocity,"I think this hit me at the right moment as I'm redoing my portfolio after a long hiatus from coding, so I've subbed. 
Here's hoping that I have more luck finally getting a job in the next 3 years as opposed to the 3 years I've spent getting here."
@AyobamiAdepoju-dj6oo,"I saw this video at the right time. I started to question if I can do this but after listening to you, I'm doing it scared because I feel like I don't know anything even though I've read books and taken so many tutorials. 
Thank you for sharing this!"
@seyitylmaz192,"Woov, that's a really great video, it was very helpful. I felt like I had needed a video like this for a long time."
@vladimirbartek2743,"""Nobody cares about your code""
How about your coworkers who have to read the code after you? I'm sorry but that's a genuinely crap take."
@mazyrkom,Very sound advice applicable to many domains in life
@Anime_hindi888,"Can you tell, the things which you understand in 10 years, will we understand in 8 minutes?"
@ShilandGraphics,"I love this song so much. But the actions and the sound are not in sync. 
Beautiful piece LMMJVSD😂"
@LastBorn-m8u,"His voice is so calming and it made me think about life at 13yrs and it made me think that using these rules can help me become a better developer
Thank You Bro! 😙☺"
@AdolfMarcus,do you know c++? i'm making a game on source engine but i'm not a programmer this guy on my ave is a model from that game
@andreschristianmeneguzzo,"so true, so inspirational. Motivates me even more to send applications, even when feeling Imposter Syndrome just looking at LinkedIn postings 😂"
@Siri_Vicken,Thank you for this
@echoexplore4190,"hm the clever code is something, but i would imagine like performance tradeoffs and interface separation... i would say clever code is bad, also like being able to like separate and hide nastiness behind boundaries ( a real skill ), bc u can patch, do the next feature , and then chip at the internal logic or rewrite it entirely when u finally use sqlite for like ur like inflight state instead of just a dictionary (sqlites still useful even if u deploy with  postgres dor inflight state, imo)"
@AmeyKanunje-x7k,Thanks
@DanielRomero-zq2dg,Keep on man! Thanks a lot for your pieces of advise !
@averagedudeusa9722,Thanks for the wisdom. Great advice.
@MohamedTarikRochdi,"Thank you, Pete !"
@mikelop-w9c,"i quit my 6 year job(not minimum wage,sometimes long hours) 4 months ago to start a degree with web developer specialty.by the way,i finished college with the title applied informatics in business management and economy(bachelor degree) years ago.and i still can't find a company that could use my skills to the fullest.i even went to job career days countless times,where they host many companies.many interviews...still a dead end.give me hope.thanks."
@ai_made_easy,"Thanks for the video. I am currently building my first after watching countless hours trying to learn. It is true, thanks. I am looking for my first project too."
@RidgeTheEternal,When will half baked advice be substituted for legitimate advice
@True_King,I needed this.
@chriszod,great
@alishakeel__77,"I'm lucky to watch this video on my early stage, I feel myself stuck in these two mistakes:

1. Perfection is a trap
2. You'll never feel ready.

But now i spoted my mistakes because of your guidance on the right time. Thanks Pete"
@lazersondesign,"yoyoyo, but my coworker, who actuallly understands code care about my code, and will ask like ""what is this eeewwww! why does it even work??!! youre gross!!!"" xDD"
@sarjil905,nice!💫💰
@Lucas-f7i4k,These all apply to cysec too.
@tegharomeo,Perfection is truly a lie
@jenniferlarson9701,You are spot on! Thank you. <3
@nevmerzhitsky,"Number 6 is wrong. Or works only for solo-devs, not for team players."
@pdstudio4477,"Every word you just told on your video it's 100% true. Finally found someone that actually tells how a professional programmer brain works. I have solved more bugs taking a pause (even forget about that for a few days) and relaxing,  than when i keep stuck for hours trying to figure out what is wrong just because ""i need to fix it right now"". I have 30+ years experience programming in serveral languages (from web sites to videogames) and i can tell you guys, those advices are pure gold !!!"
@DivineOkonkwo-r4k,Learn how to learn this hit me more
@dimontaurus,I'm as a engineer with 13 years experience absolutely agree with each item!
@altafahmed5123,"Great,"
@Der_Yoloist,"You have to ""waste"" your life. You have to suffer through it to understand."
@SuryaABS-nn6pb,pure savage 
@techas8005,"So I am learning from someone else project which is mostly an open source then I rewrote it with slightly different styles and orders yeah I am kinda a person that learn by doing, not to memorize it, kinda suck in the front"
@lilee8485,Your delivery is flawless. Your passion is intense and I wish all young programmers hear this.
@jasonknoll5170,"oh man i wish #6 applied to me lol my senior will halt PRs with tons of review on purely cosmetic things about the code. It may function fine, but it's not good enough for him... not the most efficient lol"
@QueirozVini,"10 years developer here as well. All tips are accurate, apart from the ""nobody cares about your code"".
Most CEOs and other non-technical employees aren't knowledgeable enough about software engineering to know what ""intrinsic quality"" is. Ok, the final user doesn't care, and they shouldn't. But the person who is paying you so you handle them the complete and working SYSTEM (instead of offering them a SaaS), should definitely care about code quality. If they did know that code quality means a software that is robust and easy to extend and maintain - which translates directly in their words to ""reduced costs"" - then I assure you they would in fact care about your code.

Following your analogy, if I hire a plumber and instead of screwing a pipe to one another they connect one pipe to another using epoxy resin, then I would be mad as hell!
I (or the next plumber) would have to break everything to give maintenance again later on, even if it was just one pipe that was problematic.

I hope this video reaches the newer developers as well, they will greatly benefit from these tips!"
@arishfunnix,Thanks man. All tips are true and real ❤
@alikhanalikhan462,I am feeling the same but u got me thanks
@Kyle-sq7up,"2020: you dont need to know everything 
2025: you dont need to know anything"
@TheEvilVir,"""Nobody cares about your code"" - this is kind of attitude that JavaScript developers have and reason why JavaScript ecosystem is a shithole. The fact that your client doesn't care about your code is not an excuse to write shitty mess. You should care about your code, and if your boss doesn't then it's a shitty boss and you work in wrong place altogether. Sure that ""perfection is a trap"" and ""you'll never feel ready"", these are true. You will never reach perfection but you must try to, otherwise you will get yourself into trouble if that project you don't care about will be longer than one month."
@alirezaSariri-h6o,Next Developer Who Works on Your Code Care About Your Code ;(
@archadam4657,"""perfection is a trap"" this is good advice❤"
@AnthonyMaske,"I wrote my first line of code at the beginning of 1982.  There was no YT, Online Tutorials/Academy's/etc...  You had CompuServ, Prodigy, BBS's, and the best, Techy Book Stores.  Of course, gallons of ""Mid-Night Oil""..."
@dara_1989,"with english .. i know what i want to achieve 
with python .. i cant visualise .. why learn this .. to start with😮😮
...
i learn excel cuz i know what i want 2 achieve with it .. n thus look 4 sol.❤"
@Mobin92,About #6... You and your colleagues will care about it when they need to work on it in the future.
@roukia7734,I must watch this video from time to time
@ComputingCode,"Wordking as a WEbDev for 10 years now. IF your code is bad but it works and looks good, it's going to bite you in the butt in the long run. Practice clearn programming patterns that are expandable and scalable or else you will regret it later."
@pldcanfly,"That advice on burnout is curcial. It gave me gray hairs in my 20ties, a dark time with bad thoughts, switching jobs,  moving country and 3000 Euros worth of therapy to learn to have boundaries and not freak out. I still am dealing with the consequences of that time in my life and prolly will forever. Now I am paid for x amount of hours in a week. If I should work more, I need to be paid more. Sounds anti-grind minded, but I'd rather keep my mental health intact then to burn out on something that will not get me much further either. It's hard, because a lot of development is the constant flip between ""I am a genius god!"" to ""Why did I ever touch a keyboard, and how am I even able to get dressed in the morning?"" But keep your sanity, it is not worth it to ruin yourself for the rest of your life just for a random dude giving you a pat on the back and a free pizza on friday."
@slava4130,"yep, as a dev with more than 20 years of exp, agree with every word"
@ArdaKaraduman,"about naming things ... when you first start a project, you usually dont have the full scope of what you are doing. so just come up with a name that feels right at that point. dont spend too much time. when you are near completion, you have better understand of the scope, and what a variable is doing, so rename things that doesnt make sense anymore. most IDEs have features to easily rename things."
@omarmohamed1317,"great video and great advice 😍
Also the painting falling on 7:29 caught my attention😂"
@Myawa,I love every tip. I am saving this video. Thank you
@Hellenic_Empire,"Thanks sm for giving me a clearer picture of how ""being a programmer"" actually is. I want to eventually work as a dev myself (currently in my 3rd year of comp science) but I relate a lot to the ""impostor syndrome"" and ""I dont think anyone would wanna hire me lol / I dont think Im ready"" Guess the key is just to build stuff and apply"
@mehranqadri,"I am in your shoes by my own, learned all of these from my experience. Thanks for making video for the younger devs."
@mersi-d,"I watched this video and agreed with a lot of what was said, especially the idea that we don’t need to know *everything*. But I think there’s something that should’ve been clarified.

Yes, we don’t need to know ""everything"" , but that doesn’t mean we should settle for surface-level understanding. I personally want to learn everything ""useful""— not to brag about it, but to actually fill the gaps and build a solid foundation. I’ve learned this the hard way: skipping things too quickly creates gaps that slow you down later.

So what I want to say is — you should’ve pronounced it this way:  
“Don’t try to learn everything at once.”
Not:  
“You don’t have to know everything.”

There’s a big difference. One is about pace, the other sounds like permission to skip. And for some of us, skipping is not an option — we’re in it for mastery."
@user-K1rl9fn7j,"Got a lot from this! Thanks, bro, for sharing this! 💙💙"
@florpistan,how can I improve my problem solving skill? thanks for the video <3
@VanguardOnline2011,"Excellent advice Pete! Don't feel bad. I am a coder too ... for over 23 years, BUT it took me circa 13 years to learn the tips you just gave us.  Thanks a million for sharing.  Much appreciated.   Similarly, in Software Engineer white-boarding interviews, don't feel bad if you can't develop a fantastic algorithm pronto; most hiring managers really only care to see your ""thinking process"" and ""problem solving process"".  On the job, you normally will have far more time to refactor and improve the code properly."
@jeffweir,Well done. All points are well thought out and accurate. The last one maybe should have been first. When you're stuck it's often best to just walk away. Easier said than done but when you wake up in the night with a solution it's so gratifying ;-)
@HomeTech-b3i,This is the same formula for all of these losers.  Oh look I'm still a unemployed or barely employed loser but buy my loser formula. Give it a fuking rest man.
@khaledmahfoud4868,"Salem, thank you for your video it was so mindful, to me the thing that did stand out in your speech was ""start anyway"", I personally couldn't agree with you more, there's no perfect time to start it's just ""better late than never!""."
@garulez,Exactly! true in 8 minutes ;)
@robertluis1934,"I wish I knew all of them, but specially, ""You will never feel ready, star anyway"" why? Because it's useful not only for coding, but for everything else in life! :)"
@josephinecudjoe3207,Whosh! Inspired🎉
@patriciacostalonga5282,"Very inspirational, thank you for these tips ❤"
@kudzo005,"Thank you so much, I have been struggling to break into the industry and always felt inadequate and overwhelmed. I spent some much time learning and by the time  i am done I have forgotten other things that I felt I needed to have at my fingertips. I decided to just develop one production ready web app and I did, bought an unmanaged  VPS and deployed it. Now thats just what I do. Cirrently working on my next project"
@1319matt-e4n,"I'm the only dev in my office without a degree
Company is paying for my BS in CS
how did I get here?
my personal rules: 
1. Get rid of all social media
2. Math is hard...Khan academy
3. Time management becomes a genuine skill. 
Apple watch allows for daily reminders (reminders on phone causes you to reach for your phone too much)
Start every day with a written list (created the day before) (yes written)
4. Manage your hours: I bought a ""Gym boss"" timer, set it to 15 minutes.
This keeps me focused on the task at hand. seems excentric.... but it works.
5. Drink water all day and get 10K steps daily  (have a walking pad to achieve this)

Final fact: Too many students nowadays are overusing Ai to complete thier assignments vice learning to code.
This narritive that coders are going to be fully replaced is false. Ai is nothing but a tool to be leveraged.
So, learn to leverage it. Ai will have its impact... but it won't replace us."
@Papaver_Somniferum,I don't think that I'm ready to post this comment. So I do it anyway - great video despite clickbity title. I'm really glad that algorithm show this video to me!🙂
@VinithSamuel,Are you reading my mind🙃 Just copy of what I'm doing as a programmer for 11 years
@Jelena-y1w,"I want to add something that was a break point for me when I was starting programing and that is strat from your functions, in ohter words strat from what should your program do, and variables will come out from functions."
@Chickensammich710,I resonated with this video. I needed to hear it from a seasoned perspective. Thank you.
@julianbrown1331,"How about some more
+ code is disposable, just because you invested in it doesn't mean you should keep it! 
+ if you make an assumption about a feature, prove it. The customer rarely knows exactly what they want so don't just take their (or your) word for it. The earlier you prove it the better. Sometimes its much quicker and easier to do this on paper than in code
+ developers work better in a team, you challenge and learn from each other as you work. The code you produce is always better. Conversely one developer working solo is dangerous - if there is no-one to challenge you, how do you know you're doing it wrong?
+ good tests are worth the time it takes to write them and write the test first. That way you can prove your code works and that you only write testable code
+ there is no such thing as a rock star programmer"
@_aiborie,"'The best developers I know the ones who last, they take breaks, they have boundaries.' Took me later to learn about self-preservation, esp at work. It's a marathon, not a sprint."
@faisalyusuf31,"Ive been seeing this video and somethings been telling me to click on it and then i finally did, not knowing this will eventually be an eye opener and life changing to me. I really appreciate this. Thank You."
@jasonwong9498,The best way to learn how to do X is to try to do X. I dont have to learn everything before doing a project. What I need is just start it.
@outcome2715,"I’ve learned most of the advanced stuff through pasting and skimming over time started adding my own features then making my own programs all together , read enough retain enough and try enough and you’ll progress"
@decrepitworld3634,This is so many truths in just 8 minutes!
@PotatoGamer-313,Thank You Soooo Much ❤❤❤❤❤❤
@karaokeph24,"""Debugging is a Job, Its not a failure its a Process"" What a beuatiful inspiring message👍"
@Davichiz,"4:15 yes my dude! you know what's up. Getting in shape took me from a lazy couch potato to trying to do things like code. You have to be patient and show up everyday to put the work in, if you do that then you'll get where you need to be."
@superdudeman666,"As a professional software develops of many many years I have to say... I already knew all this and shouldn't have watched this video. 
Anyway, back to googling how to iterate through the keys of a C# dictionary."
@tristandunn4628,"So true. The thing about taking a break is so important. So many times I've worked out how to solve a problem when I've been making a cup of tea, or even sat on the bog!!"
@user-fd7lw1dz5i,Great tips! Thank you🎉
@yawa-kaa,Thank you Pete!.
@ardaarsen,For me the problem was trying to be a one man army. Even a simple setup program can sometimes take +5k lines.  A useful formal looking app? much more than 5k.... It took me some time to accept that its a team job. These days I kind of went beyond this threshold with cursor and copilot though.
@matteobottazzi6847,"As a Software Developer since 2010, you have been great at explaining things I agree with 😊"
@UnknownMoses,2:25 AI is most likely damaging developers ability to code without it.
@mr.deadwish1666,"Web dev's time is:
20% remember how to center div;
40% google how to center div;
40% copying center from previuos page;"
@A_youtube_handle99,Skip to 7:55 for a summary. and watch all of the video if you want a more detailed explanation .
@feeeedox,"I feel every point so extremely starkly, many trains of thought have demotivated me because, for example, I sometimes google simple things when I could otherwise be programming other cool things."
@MattDank3eyes,"I already came to the conclusion that I have to learn how to do something on my own before I can just make my own stuff and not follow tutorials but it was also funny just hearing that out loud like damn sometimes we're just dumb. Cause I JUST RECENTLY had that thought. Like I was making one of those ""nested"" desktops on linux following a step and it all worked but because I didn't know how to just make it some stuff I was following along with was just in some bad places and I deleted them and broke my app a couple days after making it. Lool Like how on the Nobara distro they got the mini VM for your nobara. I made that on Cachy basically."
@madwolfadv9524,"at least in coding, you can copy-paste lots of things. Now with AI it's even easier. Try be an Art Director :) who is giving you the muses to chose what's going to work or not? beer? wine? something else? :)))"
@Gipziy,"Thank you.
Honestly these help so much. I finished college as a computer engineer and barely know how to code right now because I've been so scared to even try it.
(My decisions at college were kind of questionable which lead me to this point). Now I have 4 years of ""work experience"" as an Sys Admin because I never had the courage to try to get into a dev job because I was so scared of messing up and coding. I developed a huge impostor syndrome and started tricking myself into believing that I didn't actually like to code...
Now I'm full of regret but also wanting to retake my path and try to land my very first developer job while I plan into getting to a masters program.
It's all so true, guys. Don't let your fears take it away from you as I let it happen to me. Don't let fear and insecurities take away something so rewarding and enlighting as coding. I used to love it and started hating it for stupid reasons and decisions.

Again, thank you because I now see that I was too afraid and I didn't exercise well my problem solving skills... I know what I was missing and view it differently and now I'm sure I can at least give it another try."
@SithNazgul,"Apart from the subject matter, this is the most down-to-earth video I have ever seen! Excellent work!"
@naajix,"This video hit me the hardest at a time when I need it most (I am not even thinking of coding or programs).

Thank you mate"
@mlem1042,My most valuable tip as someone who felt very stuck for a long time is to just get a tutor if you can. You will still have to figure most stuff out on your own but you will have someone to guide you and make sure you don’t miss out on the important details :) Changed my life.
@killerButterfly1414,"20 year AAA game dev here, one thing I've learned is, you learn how to write more optimized code over time, so don't try to be the most optimized when you're first starting. If you get with a good group of programmers, there will be code reviews and you'll learn a lot from more seasoned coders."
@42yilmazyusuf,Yeah I needed this ! thank you
@fjeanjoseph,"you got me at ""who let me touch production"". LOL! My first coding job, I had full access on dev/test/prod and it was the scariest thing. I thought someone was trying to set me up."
@theSetsuni,"I just spent a week with my client trying to sell why I need to rewrite my Java 1/8 backend into a Java 21 Spring backend because sh!t is starting to fail and there is nothing I can do because there is no more compatibility with my external dependencies without a migration. Im actually writing the Sagas, Epics and Stories for this right now, which will result in over 20 sprints of work.

Imagine telling your client that you need 20 sprints of work to finish something he will see no difference when accessing the website.

I did it, he agreed, and now I have to find three more developers to do this shit T_T"
@best_football_goals_2025,Buen  ingles
@the1bit,Thank you for the confirmation. This is how I also do my work or learn things.
@1NONLYABBY,"bro u saved me , i was about quit 😢, i made a software which design album automatic while u select pic, while i was learning python nd i push myself beyond beginner and completed the software and it works even i built gui and convert it to exe but i lose hope, bcoz i start thinking I can't be good coder bcoz i forget syntax each time i need to go to chatgpt, and I'm chatgpt devloper not a real one😅😅 but u open my mind now i know things big thanks buddy"
@MartinBelobrad,"Thank you, you talking from my heart. I developing 15+ yrs"
@yousefsaddeek,"this guy wasted 10 years and manage to figure out nothing,
 don't wast 8 minutes of yours"
@geekytraveler5899,"As Solution Architect with 27 years in the industry (don't ask me how I landed in this video - youtube magic :) ) - I fulhertedly confirm what this guy tells.
Impostor syndrom is strong - every year I just feel like - or there are still so much more to learn - I know nothing. Even though I'm miles ahead of most of my colleagues - sometimes some panic still fights me. Especially nowadays when technologies and frameworks are appearing and become out of date faster than you become expert with them. The good old days of ""becoming really good in 1-2-3 key languages / libs / approaches"" are long gone. It's a continuous race.
And yeah - I still google. And youtube, and learn. And read docs. Talk to colleagues. And still trying to catch up. Non stop. IT is the industry where you're never perfect to the job. You think - yeah, now I've seen it all - next project I'm coming ready ... and you still getting something you've never seen before. And trust me... I've seen quite a lot."
@eknag106,Very good video.🎉🎉
@CaffeineAndCramming-b3w,"Bro , that s  the most amazing vd i saw in 2025 . It s  very helpful !!!"
@lizzardenki,This movie is the most motivating and the most productive I have watched today. Thank you 👍
